Investment date	Name	Invested	Description	Amount of splints	Value
1/10/2025	Nike SB Dunk Low Paris	€ 50.00	 Kleding 	1	€ 50.00
1/10/2025	Ryo Kato, Portfolio of 10 Paintings, 2021 to 2024	€ 50.00	 Art 	1	€ 50.00
1/14/2025	George Morton-Clark, I Swear the Puppet Did It & Drunk Text, 2024	€ 50.00	 Art 	1	€ 50.00
1/14/2025	Lamar Jackson 2018 National Treasures Rookie Patch Auto Stars and Stripes Acetate 8/15 (Jersey Number)	€ 50.00	 Baseball 	1	€ 50.00
1/17/2025	Britt Boutros-Ghali, Portfolio (5 Paintings), 2024	€ 50.00	 Art 	1	€ 50.00
1/24/2025	Britt Boutros-Ghali, Portfolio (4 Paintings), 2024	€ 50.00	 Art 	1	€ 50.00
1/24/2025	Móyòsóré Martins, What If 2022 & Now and Then II 2023	€ 50.00	 Art 	1	€ 50.00
1/24/2025	Nike x Louis Vuitton Air Force 1 Set (4 Sneakers) & Jacket	€ 50.00	 Kleding 	1	€ 50.00
1/31/2025	Nike x Louis Vuitton Air Force 1 Set - Part 2	€ 50.00	 Kleding 	1	€ 50.00
1/31/2025	Sealed Pokémon EX Team Rocket Returns Booster Display	€ 50.00	 Pokemon 	1	€ 50.00
2/4/2025	Patrick Mahomes II 2018 Flawless Star Swatch Auto Patch Sapphire 1of3	€ 50.00	 Baseball 	1	€ 50.00
2/6/2025	George Condo, Women are Beautiful, 2024	€ 50.00	 Art 	1	€ 50.00
2/18/2025	RIMOWA x Rick Owens Set (4 bags)	€ 50.00	 Kleding 	1	€ 50.00
2/21/2025	Zevs, Swimming Pools: Monet (Amoco) & Monet (Shell), 2025	€ 50.00	 Art 	1	€ 50.00
2/28/2025	Nike Dunk Low ‘Virgil Abloh x Futura’ UNC (1 of 8)	€ 50.00	 Kleding 	1	€ 50.00
2/28/2025	Touils, Cherry Rain on the Fushimi River, 2024	€ 50.00	 Art 	1	€ 50.00
3/5/2025	Louis Vuitton Supreme Skateboard Trunk (1-of-10)	€ 50.00	 Kleding 	1	€ 50.00
3/7/2025	Zevs, Swimming Pools: Monet (PetroChina) & Monet (Total), 2025	€ 50.00	 Art 	1	€ 50.00
3/10/2025	Anthony James, 24” Dodecahedron (Jet Black), 2022	€ 50.00	 Meubilair 	1	€ 50.00
3/15/2025	David Hockney, Untitled No. 516, 2010	€ 50.00	 Art 	1	€ 50.00
3/20/2025	Tracey Emin, These Feelings Were True, Full Set of 8	€ 50.00	 Art 	1	€ 50.00
4/11/2025	Touils, The Old Bridge in the Autumn Forest, 2023	€ 50.00	Art	1	€ 50.00
4/16/2025	Sealed Pokémon Expedition Base Set Display	€ 50.00	 Pokemon 	1	€ 50.00
4/18/2025	Damien Hirst, End of Days, 2003	€ 50.00	 Art 	1	€ 50.00
4/22/2025	Peyton Manning 1998 E-X2001 Essential Credentials Now Rookie 54of54 (best Peyton rookie design) BGS 8.5	€ 50.00	 Baseball 	1	€ 50.00
5/2/2025	Zevs, Four Seasons (Summer) & Four Seasons (Autumn), 2025	€ 50.00	 Art 	1	€ 50.00
5/6/2025	Gustavo Nazareno, Portfolio of Two Works, 2025	€ 50.00	 Art 	1	€ 50.00
5/14/2025	Kylian Mbappe Panini Donruss FIFA Kaboom Black 1of1	€ 50.00	 Baseball 	1	€ 50.00
5/16/2025	Maria Kreyn, Orchid, 2023	€ 50.00	 Art 	1	€ 50.00
5/16/2025	Nike Mag „Back To The Future“ 2016	€ 200.00	 Kleding 	4	€ 50.00
5/16/2025	Rudolf Stingel, Untitled, 2009	€ 50.00	 Art 	1	€ 50.00
5/25/2025	Larry Bird 2004 Exquisite Titleists Jersey Auto 2of3 PSA 9 + 10 Auto	€ 50.00	 Baseball 	1	€ 50.00
5/27/2025	Katherine Bernhardt, Pepsi, 2019	€ 50.00	 Art 	1	€ 50.00
6/10/2025	Mario Carreño, Colonial Patio, 1943	€ 50.00	 Art 	1	€ 50.00
6/17/2025	David Hockney, No. 18, The Yosemite Suite, 2010	€ 50.00	 Art 	1	€ 50.00
6/20/2025	Anthony Daley, Earth Reverb, 2022	€ 50.00	 Art 	1	€ 50.00
6/24/2025	Kenny Scharf, Gee, 2019	€ 50.00	 Kleding 	1	€ 50.00
